,US Dollar Index
2006-01-02,0.0
2006-01-03,-0.006504922817518022
2006-01-04,-0.005230468121934284
2006-01-05,0.0007023929249876382
2006-01-06,-0.0027427935616634036
2006-01-09,0.0015526258171780771
2006-01-10,-0.00035735889813670596
2006-01-11,-0.002722091077213218
2006-01-12,0.0019354967908602472
2006-01-13,-0.0009673779759614698
2006-01-16,4.0013004226402415e-05
2006-01-17,0.002732778841969763
2006-01-18,0.001634001598089574
2006-01-19,-0.0022139559897818017
2006-01-20,-0.002839712455407928
2006-01-23,-0.0052391500845332395
2006-01-24,-0.00035118330661720876
2006-01-25,4.6304032275790163e-05
2006-01-26,0.0013266497564117241
2006-01-27,0.0016435497457776282
2006-01-30,0.0007135452157847055
2006-01-31,-0.002841114222218666
2006-02-01,0.001831418942363161
2006-02-02,0.0017909273068228426
2006-02-03,0.003270816381338637
2006-02-06,0.00019177370702583296
2006-02-07,0.0003864697634843317
2006-02-08,0.003114521556581984
2006-02-09,-0.002748589631189402
2006-02-10,0.0011006698818603056
2006-02-13,0.0007326408963137521
2006-02-14,3.187393857295717e-05
2006-02-15,0.0005000064741873533
2006-02-16,0.0006908985563804926
2006-02-17,-0.001769826986727785
2006-02-20,4.285412456006554e-05
2006-02-21,-0.001097217889933444
2006-02-22,0.0015294119994493371
2006-02-23,-0.0019155695058866717
2006-02-24,0.0006367545081820136
2006-02-27,-0.0018651617703676626
2006-02-28,-0.0030268085905804654
2006-03-01,0.0006615248146979447
2006-03-02,-0.00238993143721411
2006-03-03,0.0010592699170355324
2006-03-06,0.002818387521263288
2006-03-07,0.005806963956016542
2006-03-08,0.0029085955212602155
2006-03-09,-0.0008398070525944545
2006-03-10,0.0018338463736877753
2006-03-13,-0.0009934962152052806
2006-03-14,-0.005396787310262274
2006-03-15,-0.0009958928144189194
2006-03-16,-0.0030654980785754793
2006-03-17,-0.00043541407878888716
2006-03-20,0.0018796051327139018
2006-03-21,0.004222926543067329
2006-03-22,0.00024285469724771858
2006-03-23,0.0032797325266678
2006-03-24,-0.00047904500444329035
2006-03-27,0.0005814801547570081
2006-03-28,-0.00036098254689054254
2006-03-29,0.002459337595920541
2006-03-30,-0.004726494694568983
2006-03-31,-9.744475975892453e-05
2006-04-03,0.0006006364359585348
2006-04-04,-0.004854880322479382
2006-04-05,-0.000526305802646343
2006-04-06,0.000785377980639268
2006-04-07,0.0026048894843937465
2006-04-10,-9.5599723955897e-05
2006-04-11,-0.0011831596936929811
2006-04-12,0.0006840143064683613
2006-04-13,0.0011658158867822177
2006-04-14,-6.170633953006543e-05
2006-04-17,-0.0059500526029241385
2006-04-18,-0.0019745293721256107
2006-04-19,-0.0032907046622663305
2006-04-20,0.001516909972852698
2006-04-21,-0.0006321773232265127
2006-04-24,-0.0031930567358411377
2006-04-25,-0.00149621154796864
2006-04-26,-0.0007881279636895444
2006-04-27,-0.0038001551207544892
2006-04-28,-0.0037933348153426083
2006-05-01,-0.0023710735144871764
2006-05-02,-0.0025677035191020714
2006-05-03,-0.001022967096094396
2006-05-04,-0.0007113775303104752
2006-05-05,-0.0023520891844928116
2006-05-08,-0.0006580401712960038
2006-05-09,-0.0024353229863829373
2006-05-10,-0.003286997023447369
2006-05-11,-0.0010430560715072312
2006-05-12,0.003527097535382273
2006-05-15,0.004954644359756788
2006-05-16,-0.0016731923565205253
2006-05-17,0.002845799051194531
2006-05-18,0.002367847341557816
2006-05-19,0.002350995309267967
2006-05-22,4.799199452687475e-05
2006-05-23,-0.002381105539542072
2006-05-24,0.007052899303512161
2006-05-25,-0.005603006699622881
2006-05-26,0.000584614221047719
2006-05-29,-6.026588491259144e-05
2006-05-30,-0.0031217566827659304
2006-05-31,0.0018701069803663817
2006-06-01,2.1478871438773695e-05
2006-06-02,-0.0022317090882312263
2006-06-05,-0.0019097037140303197
2006-06-06,0.007977972251692389
2006-06-07,0.0001956291157259038
2006-06-08,0.007815484479560153
2006-06-09,-0.0038835029965237355
2006-06-12,2.333909369234277e-05
2006-06-13,0.0037615652657447818
2006-06-14,-0.0008724212773744133
2006-06-15,0.0005139942003646869
2006-06-16,0.00028416962803090584
2006-06-19,0.0023485356278818426
2006-06-20,-0.0013444954359774774
2006-06-21,-0.004618646079200817
2006-06-22,0.005389916634873648
2006-06-23,0.0033910073714040756
2006-06-26,-0.0005853858718829485
2006-06-27,-0.0014532513984022444
2006-06-28,0.0017436176538767612
2006-06-29,-0.001772778493238869
2006-06-30,-0.009751471035863268
2006-07-03,-0.0021496555156680364
2006-07-04,-0.00015300330181122757
2006-07-05,0.002916689195599842
2006-07-06,-0.0017292590633519733
2006-07-07,-0.0039454645499196195
2006-07-10,0.002358036967472499
2006-07-11,0.002366778150524551
2006-07-12,0.003125852736699297
2006-07-13,0.0003867227228526726
2006-07-14,0.001249006932952268
2006-07-17,0.004005820752441824
2006-07-18,0.0005793491305221554
2006-07-19,-0.0020971593023996205
2006-07-20,-0.0032832555986179734
2006-07-21,-0.0008042482155425912
2006-07-24,0.0026126117896390078
2006-07-25,0.0016126827934945798
2006-07-26,-0.0019891084185374996
2006-07-27,-0.005202446780498637
2006-07-28,-0.0017754557495142098
2006-07-31,-0.0005537770552725974
2006-08-01,0.0017540887921991821
2006-08-02,-0.0023255221729319153
2006-08-03,0.0012885019072277348
2006-08-04,-0.004781307930914247
2006-08-07,-0.0009395443670883186
2006-08-08,0.0014726875933250838
2006-08-09,-0.0021730136688908885
2006-08-10,0.0046028230648129664
2006-08-11,-0.0010460860140139028
2006-08-14,0.0018550655868971866
