Date,DIA,GDX,IYR,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,^IXIC
1998-06-10,1.0419544725918373,0.0,0.0,1.9380658862978488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283641370456424
1998-06-11,0.8516251327352022,0.0,0.0,1.9340266766213374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19168532091550472
1998-06-12,-0.12614077833001347,0.0,0.0,-0.3308804386639066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032602185685746354
1998-06-15,0.8411165521694035,0.0,0.0,1.3805323577669046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19735893351185263
1998-06-16,-0.146296529311171,0.0,0.0,-0.339422807419719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21381639723836976
1998-06-17,-0.3961823515473045,0.0,0.0,-0.6970069493459314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16581349437551018
1998-06-18,0.11873658426448785,0.0,0.0,0.49388164330366924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03117844007388837
1998-06-19,0.32444283545625496,0.0,0.0,0.36929814661894467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07034178465691343
1998-06-22,-0.022243911403349692,0.0,0.0,-0.2597847875896868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21502500324695495
1998-06-23,-0.29179637212358867,0.0,0.0,-0.8629923306872089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42684395370258577
1998-06-24,-0.31137870535969336,0.0,0.0,-7.114532895470939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6244705319045918
1998-06-25,-0.18966872178684924,0.0,0.0,-0.1435385952660292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7141387376622432
1998-06-26,0.0,0.0,0.0,0.4195961816344689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18171866717908514
1998-06-29,-0.26096291527322824,0.0,0.0,0.25510772818662764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7594858940870961
1998-06-30,0.35139796924425837,0.0,0.0,-0.3894931441339775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5302016272838455
1998-07-01,-0.5412256227490967,0.0,0.0,1.0792032273689007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.068913429947321
1998-07-02,0.3825519436781999,0.0,0.0,0.08550945199590276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.229413383804619
1998-07-06,-0.8914250026356234,0.0,0.0,0.4156175749708044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0957193530719636
