,1-Month Treasury Yield,3-Month Treasury Yield,2-Year Treasury Yield,5-Year Treasury Yield,10-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2001-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-10,-0.01377410468319551,-0.025568181818181768,-0.04603580562659848,-0.02330508474576254,-0.04038461538461535,-0.015789473684210464,-0.012522361359570744,0.0,0.0
2001-08-17,-0.033519553072625774,-0.020408163265306256,-0.01608579088471851,-0.026030368763557465,-0.030060120240480992,-0.01782531194295911,-0.016304347826086918,-0.00917431192660545,-0.011428571428571455
2001-08-24,0.00867052023121384,0.017857142857142794,0.02452316076294281,0.013363028953229383,0.018595041322313932,0.005444646098003769,0.0036832412523020164,-0.0015432098765433278,-0.0014450867052022698
2001-08-31,-0.025787965616045905,-0.014619883040935644,-0.031914893617021156,-0.01978021978021971,-0.016227180527383367,-0.01263537906137191,-0.011009174311926717,0.0,0.0014471780028944004
2001-09-07,0.0,-0.029673590504451064,-0.030219780219780334,-0.015695067264574036,-0.010309278350515427,-0.003656307129798808,0.0,-0.004636785162287382,-0.00433526011560692
2001-09-14,-0.2529411764705882,-0.19266055045871555,-0.18696883852691215,-0.1070615034168565,-0.04791666666666661,-0.012844036697247763,-0.007421150278293154,-0.007763975155279601,-0.004354136429608024
2001-09-21,-0.16535433070866135,-0.14772727272727282,0.013937282229965264,0.005102040816326481,0.02844638949671774,0.04460966542750944,0.04485981308411224,-0.014084507042253502,-0.008746355685131268
2001-09-28,0.07547169811320731,0.06666666666666665,-0.01718213058419249,-0.0025380710659898,-0.021276595744680993,-0.030249110320284656,-0.030411449016100156,-0.01111111111111096,-0.0117647058823529
2001-10-05,-0.030701754385964897,-0.08750000000000002,-0.05244755244755239,-0.01526717557251911,-0.017391304347826098,-0.020183486238532167,-0.02029520295202958,-0.019261637239165297,-0.011904761904761862
2001-10-12,0.045248868778280604,0.027397260273972712,0.03690036900368998,0.036175710594315236,0.03539823008849563,0.02059925093632975,0.020715630885122405,-0.008183306055646544,-0.009036144578313143
2001-10-19,-0.008658008658008698,-0.026666666666666727,-0.014234875444839923,-0.012468827930174564,-0.010683760683760646,-0.011009174311926717,-0.011070110701106972,0.004950495049504955,0.004559270516717451
2001-10-26,-0.013100436681222849,-0.022831050228310446,-0.05054151624548742,-0.02020202020202022,-0.021598272138228847,-0.02226345083487946,-0.01679104477611959,0.006568144499178974,0.004538577912253983
2001-11-02,-0.0752212389380531,-0.06074766355140204,-0.057034220532319324,-0.028350515463917536,-0.03532008830022082,-0.024667931688804545,-0.05882352941176461,-0.014681892332789492,-0.012048192771084376
2001-11-09,-0.08133971291866027,-0.08955223880596996,-0.012096774193548265,-0.039787798408488007,-0.006864988558352492,-0.017509727626459082,-0.016129032258064502,-0.01655629139072845,-0.01676829268292679
2001-11-16,0.05208333333333348,0.06557377049180313,0.26122448979591817,0.17127071823204432,0.13133640552995396,0.09306930693069293,0.08606557377049184,0.006734006734006703,0.009302325581395321
2001-11-23,-0.00990099009900991,0.0,0.035598705501618255,0.037735849056603765,0.026476578411405383,0.023550724637681375,0.016981132075471583,0.04347826086956519,0.03686635944700467
2001-11-30,-0.06499999999999995,-0.08717948717948709,-0.11250000000000004,-0.07272727272727275,-0.051587301587301515,-0.019469026548672663,-0.02226345083487946,0.04647435897435903,0.040000000000000036
2001-12-07,-0.09625668449197866,-0.050561797752809,0.12323943661971826,0.10294117647058831,0.08786610878661083,0.06498194945848379,0.06261859582542706,-0.03522205206738138,-0.02564102564102555
2001-12-14,0.00591715976331364,0.02366863905325456,0.0031347962382446415,0.004444444444444251,0.007692307692307665,-0.0016949152542373724,-0.0017857142857142794,0.04285714285714293,0.03654970760233911
2001-12-21,-0.01764705882352946,-0.011560693641618491,-0.009375000000000022,-0.015486725663716672,-0.022900763358778664,-0.022071307300509324,-0.025044722719141266,0.0121765601217656,0.01128349788434413
2001-12-28,0.03592814371257491,0.005847953216374213,-0.003154574132492094,0.0022471910112358273,0.005859375,0.01041666666666674,0.016513761467889854,0.0,-0.001394700139469962
2002-01-04,-0.005780346820809301,0.0,0.009493670886075778,0.008968609865470878,0.005825242718446422,0.00859106529209619,0.005415162454873723,-0.004511278195488799,-0.0027932960893854997
2002-01-11,-0.05813953488372081,-0.08139534883720922,-0.13479623824451414,-0.08000000000000007,-0.050193050193050204,-0.04599659284497448,-0.03590664272890487,-0.010574018126888296,-0.011204481792717047
2002-01-18,-0.01851851851851849,0.025316455696202445,0.05434782608695676,0.021739130434782705,0.004065040650406582,-0.0017857142857142794,-0.0018621973929235924,-0.036641221374045796,-0.03257790368271951
2002-01-25,0.06289308176100628,0.061728395061728225,0.08934707903780059,0.05437352245862881,0.0323886639676112,0.023255813953488413,0.020522388059701413,0.020602218700475516,0.019033674963396807
2002-02-01,0.0,0.023255813953488413,-0.028391167192428957,-0.020179372197309364,-0.015686274509803977,-0.01573426573426573,-0.01279707495429605,0.01086956521739113,0.008620689655172376
2002-02-08,0.0,-0.017045454545454586,-0.04220779220779214,-0.020594965675057142,-0.02390438247011939,-0.005328596802841923,-0.0018518518518519933,-0.02304147465437778,-0.019943019943019946
2002-02-15,0.01775147928994092,0.005780346820809301,0.006779661016949268,-0.00233644859813098,-0.008163265306122436,-0.0035714285714284477,-0.0037105751391465214,-0.0015723270440252124,-0.0029069767441859407
