Date,DIA,GDX,IYR,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,^IXIC
1998-06-10,4.258695673087222,0.0,0.0,-3.084535840218929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1025083653859675
1998-06-11,0.6689594358519413,0.0,0.0,1.9319425319567687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13251297707235965
1998-06-12,-1.2742585046409747,0.0,0.0,-1.5019641381100437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.797316007684327
1998-06-15,-6.826961473866399,0.0,0.0,-3.7917673506761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2509080855289305
1998-06-16,-1.3202278696632803,0.0,0.0,-1.5852865175385888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2972048886213985
1998-06-17,1.3118952317877897,0.0,0.0,0.3564995744040578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39031874038498837
1998-06-18,-1.1809652671702264,0.0,0.0,-1.2146932765979566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.156854748607842
1998-06-19,2.0569017272630075,0.0,0.0,0.11704439640591469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3264451846415524
1998-06-22,-1.0908042523092172,0.0,0.0,-1.9632402204644754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.841835215692913
1998-06-23,11.826237000355713,0.0,0.0,1.458958653025678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5582459068117303
1998-06-24,-0.24426912105063214,0.0,0.0,0.12949505528220184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1614756212640035
1998-06-25,-0.5805431826214437,0.0,0.0,-1.1233631884789714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4294520343220931
1998-06-26,-1.0,0.0,0.0,-3.5036327997889916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361771604600153
1998-06-29,inf,0.0,0.0,-0.13690835929804201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4199740693663867
1998-06-30,-1.9951457297956783,0.0,0.0,-2.91627223037574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8320956698043553
1998-07-01,-3.0814326532937035,0.0,0.0,-2.6915855364961625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377512076209189
1998-07-02,-1.3242733203125745,0.0,0.0,-0.8352566745061781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0268378489917436
1998-07-06,-4.221631442223009,0.0,0.0,4.276104518457921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7642773767392401
1998-07-07,-1.1460136188239876,0.0,0.0,-1.1872668001150684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0871990756427123
1998-07-08,-7.008845043054284,0.0,0.0,-4.86497373801364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.07335801071525
1998-07-09,-2.266112655225897,0.0,0.0,-1.9192797946033937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.839901559918785
1998-07-10,-1.3372922611634404,0.0,0.0,-1.8054197542542705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27476553441796425
1998-07-13,-1.6925444440617923,0.0,0.0,-0.950279678122765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.972693148114793
1998-07-14,-6.831005297702484,0.0,0.0,40.99520559005008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8734080692094366
1998-07-15,-0.9576364882419831,0.0,0.0,-1.1648025043826653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05962830398051
1998-07-16,11.232110605687044,0.0,0.0,-4.721498030272252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7726310162208776
1998-07-17,-0.9190495958951485,0.0,0.0,-0.8090191843774792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35801488783580315
1998-07-20,-4.249045617306649,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3332180335376169
1998-07-21,5.783210557220448,0.0,0.0,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.377842026060202
1998-07-22,-0.7463026330780788,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7278098065417693
1998-07-23,4.97809974668135,0.0,0.0,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69484383560641
1998-07-24,-1.0390214526026988,0.0,0.0,-0.9586358189623401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8753127096053468
1998-07-27,9.395810805386137,0.0,0.0,-9.672984368145856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5378256941199093
1998-07-28,-2.257906243486434,0.0,0.0,-3.3678381821441197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.161469931732327
