,Unemployment Rate
1973-06-01,0.0
1973-08-01,-0.020408163265306256
1973-10-01,-0.04166666666666674
1973-11-01,0.04347826086956519
1974-01-01,0.0625
1974-02-01,0.019607843137255054
1974-03-01,-0.019230769230769384
1974-04-01,0.0
1974-05-01,0.0
1974-07-01,0.07843137254901977
1974-08-01,0.0
1974-10-01,0.09090909090909083
1974-11-01,0.09999999999999987
1975-01-01,0.2272727272727273
1975-04-01,0.08641975308641991
1975-05-01,0.022727272727272707
1975-07-01,-0.04444444444444451
1975-08-01,-0.023255813953488302
1975-09-01,0.0
1975-10-01,0.0
1975-12-01,-0.023809523809523947
1976-01-01,-0.03658536585365846
1976-03-01,-0.03797468354430389
1976-04-01,0.013157894736842257
1976-06-01,-0.012987012987013102
1976-07-01,0.026315789473684292
1976-09-01,-0.02564102564102566
1976-10-01,0.013157894736842257
1976-11-01,0.01298701298701288
1976-12-01,0.0
1977-02-01,-0.02564102564102566
1977-03-01,-0.02631578947368407
1977-04-01,-0.027027027027027084
1977-06-01,0.0
1977-07-01,-0.04166666666666663
1977-08-01,0.014492753623188248
1977-09-01,-0.02857142857142858
1977-11-01,0.0
1977-12-01,-0.05882352941176461
1978-02-01,-0.01562500000000011
1978-03-01,0.0
1978-05-01,-0.04761904761904756
1978-06-01,-0.016666666666666607
1978-08-01,0.0
1978-09-01,0.016949152542372836
1978-11-01,-0.016666666666666607
1978-12-01,0.016949152542372836
1979-01-01,-0.016666666666666607
1979-02-01,0.0
1979-03-01,-0.016949152542372947
1979-05-01,-0.034482758620689724
1979-06-01,0.017857142857143016
1979-08-01,0.05263157894736836
1979-10-01,0.0
1979-11-01,-0.016666666666666607
1980-01-01,0.06779661016949134
1980-02-01,0.0
1980-04-01,0.09523809523809534
1980-05-01,0.08695652173913038
1980-07-01,0.040000000000000036
1980-08-01,-0.012820512820512775
1980-09-01,-0.025974025974025983
1980-10-01,0.0
1980-12-01,-0.039999999999999925
1981-01-01,0.04166666666666674
1981-04-01,-0.039999999999999925
1981-05-01,0.04166666666666674
1981-06-01,0.0
1981-07-01,-0.039999999999999925
1981-09-01,0.05555555555555558
1981-10-01,0.03947368421052633
1981-12-01,0.07594936708860756
1982-01-01,0.0117647058823529
1982-02-01,0.03488372093023262
1982-03-01,0.011235955056179803
1982-04-01,0.03333333333333344
1983-09-01,-0.010752688172043112
1983-11-01,-0.07608695652173902
1983-12-01,-0.0235294117647058
1984-02-01,-0.06024096385542177
1984-03-01,0.0
1984-05-01,-0.05128205128205121
1984-06-01,-0.027027027027027084
1984-08-01,0.04166666666666674
1984-10-01,-0.013333333333333308
1984-11-01,-0.027027027027027084
1985-01-01,0.01388888888888884
1985-02-01,-0.013698630136986245
1985-03-01,0.0
1985-04-01,0.01388888888888884
1985-05-01,-0.013698630136986245
1985-07-01,0.0277777777777779
1985-08-01,-0.04054054054054068
1985-10-01,0.0
1985-11-01,-0.014084507042253502
1986-01-01,-0.042857142857142816
1986-04-01,0.05970149253731338
1986-05-01,0.014084507042253502
1986-07-01,-0.02777777777777779
1986-08-01,-0.014285714285714235
1986-09-01,0.014492753623188248
1986-10-01,0.0
1986-12-01,-0.05714285714285716
1987-01-01,0.0
1987-04-01,-0.045454545454545414
1987-05-01,0.0
1987-06-01,-0.015873015873015817
1987-07-01,-0.016129032258064613
1987-09-01,-0.032786885245901565
1987-10-01,0.016949152542372836
1987-12-01,-0.04999999999999993
1988-01-01,0.0
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,-0.05263157894736836
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.03703703703703698
1988-09-01,-0.03571428571428559
1988-11-01,-0.0185185185185186
1988-12-01,0.0
1989-02-01,-0.01886792452830177
1989-03-01,-0.03846153846153855
1989-05-01,0.040000000000000036
1989-06-01,0.019230769230769162
1989-08-01,-0.01886792452830177
1989-09-01,0.019230769230769162
1989-11-01,0.018867924528301883
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,-0.0185185185185186
1990-03-01,-0.01886792452830177
1990-05-01,0.03846153846153855
1990-06-01,-0.03703703703703709
1990-08-01,0.09615384615384626
1990-10-01,0.03508771929824572
1990-11-01,0.05084745762711851
1991-01-01,0.032258064516129004
1991-02-01,0.031249999999999778
1991-03-01,0.030303030303030276
1991-04-01,-0.014705882352941124
1991-05-01,0.029850746268656803
1991-07-01,-0.01449275362318847
1991-08-01,0.014705882352941346
1991-10-01,0.014492753623188248
1991-11-01,0.0
1992-01-01,0.04285714285714293
1992-04-01,0.013698630136986356
1992-05-01,0.027027027027026973
1992-06-01,0.026315789473684292
1992-07-01,-0.012820512820512775
1992-09-01,-0.012987012987013102
1992-10-01,-0.03947368421052633
1992-12-01,0.013698630136986356
1993-01-01,-0.013513513513513598
1993-02-01,-0.0273972602739726
1993-03-01,-0.014084507042253502
1993-04-01,0.014285714285714235
1993-06-01,-0.014084507042253502
1993-07-01,-0.014285714285714235
1993-09-01,-0.02898550724637683
1993-10-01,0.014925373134328401
1993-11-01,-0.02941176470588236
1993-12-01,-0.015151515151515138
1994-02-01,0.01538461538461533
1994-03-01,-0.015151515151515138
1994-04-01,-0.01538461538461533
1994-06-01,-0.04687500000000011
1994-07-01,0.0
1994-08-01,-0.016393442622950727
1994-09-01,-0.016666666666666607
1994-11-01,-0.05084745762711873
1994-12-01,-0.017857142857142794
1995-02-01,-0.018181818181818077
1995-03-01,0.0
1995-05-01,0.03703703703703698
1995-06-01,0.0
1995-08-01,0.017857142857143016
1995-09-01,-0.01754385964912286
1995-11-01,0.0
