Date,Dow_Jones,Gold,Real_Estate,SP500,Materials,Energy,Financials,Industrials,Technology,Staples,Utilities,Healthcare,Discretionary,NASDAQ
1998-06-15,-0.02893499909458841,0.0,0.0,-0.026315817904302263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01679037735783062
1998-06-16,0.009265657397676597,0.0,0.0,0.01540239228339213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021780559590375947
1998-06-17,0.021422584810036227,0.0,0.0,0.02089314218976468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013279199006180242
1998-06-18,-0.0038765177627626546,0.0,0.0,-0.0044858072885028966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002082905421827985
1998-06-19,-0.011852201524600536,0.0,0.0,-0.005010392801893415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004845765288675308
1998-06-22,0.0010774830890765141,0.0,0.0,0.004826634081357417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013770866444339891
1998-06-23,0.013801470495579338,0.0,0.0,0.011867529493799989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021458396270143565
1998-06-24,0.010430777228306098,0.0,0.0,0.01340427610032724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01799338840109299
1998-06-25,0.00437469919894129,0.0,0.0,-0.001653241161258201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007727297253196985
1998-06-26,0.0,0.0,0.0,0.004140577523164435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003370470573929918
1998-06-29,0.004877878382715695,0.0,0.0,0.0035729152249415197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011526921964402748
1998-06-30,-0.004854200184570057,0.0,0.0,-0.006847378727895093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019354201116505987
1998-07-01,0.010103695228228071,0.0,0.0,0.01158320691627357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01040774502293873
1998-07-02,-0.003276262764539073,0.0,0.0,0.0019082385353161868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010687066512208965
1998-07-06,0.010555443901916428,0.0,0.0,0.010068169520224268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008167883158988865
1998-07-07,-0.0015410854740779412,0.0,0.0,-0.0018859269493978204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007122318614215528
1998-07-08,0.009260641822804283,0.0,0.0,0.007287594120124474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014296885140951954
1998-07-09,-0.011724835387116883,0.0,0.0,-0.006699066393469066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002288909009086737
1998-07-10,0.003955122870090033,0.0,0.0,0.005395397239098987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001659995701970951
1998-07-13,-0.002740374048768146,0.0,0.0,0.00026815877041541647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011574640657032509
1998-07-14,0.01597120719191536,0.0,0.0,0.011266591066030118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014652561089807392
1998-07-15,0.0006756669336800414,0.0,0.0,-0.001856912167267022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01327467571750196
1998-07-16,0.008276864922652116,0.0,0.0,0.006909369981566327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030182495278858745
1998-07-17,0.0006707830327368214,0.0,0.0,0.0013193562264823822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004098827794072335
1998-07-20,-0.0021770338976971892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027330244567222994
1998-07-21,-0.014764224414591798,0.0,0.0,-0.017395965872544883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017430798238333267
1998-07-22,-0.003746881937514157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047444923446233744
1998-07-23,-0.022393616313965414,0.0,0.0,-0.01984976109028258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017530158292613285
1998-07-24,0.000874677196834428,0.0,0.0,-0.0008210691146879334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002185787937695305
1998-07-27,0.00908498676667091,0.0,0.0,0.007121536568173381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011755729147899796
1998-07-28,-0.011427470134418027,0.0,0.0,-0.016861651877986605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018998986314935906
1998-07-29,-0.0022764339942328293,0.0,0.0,-0.003872747323898418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007930293130173127
1998-07-30,0.013691082162119006,0.0,0.0,0.014995708989139267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020244575319567693
1998-07-31,-0.018874131589407317,0.0,0.0,-0.021340187206279726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024583472679741702
