,1-Month Treasury Yield,3-Month Treasury Yield,2-Year Treasury Yield,5-Year Treasury Yield,10-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2002-12-20,1.18,1.21,1.76,2.93,3.97,4.97,5.12,5.42,6.03
2002-12-27,1.07,1.16,1.6,2.79,3.83,4.83,5.06,5.32,5.93
2003-01-03,1.18,1.22,1.79,3.03,4.05,5.03,5.18,5.24,5.85
2003-01-10,1.17,1.2,1.79,3.2,4.16,5.14,5.24,5.33,5.95
2003-01-17,1.17,1.18,1.7,3.05,4.05,5.0,5.13,5.36,5.97
2003-01-24,1.14,1.16,1.66,2.93,3.94,4.92,5.05,5.31,5.91
2003-01-31,1.17,1.18,1.72,3.02,4.0,4.93,5.03,5.28,5.9
2003-02-07,1.17,1.17,1.63,2.97,3.96,4.88,4.98,5.27,5.88
2003-02-14,1.19,1.18,1.62,2.91,3.95,4.94,5.09,5.26,5.86
2003-02-21,1.2,1.19,1.63,2.86,3.9,4.88,5.08,5.21,5.84
2003-02-28,1.21,1.2,1.53,2.69,3.71,4.7,4.9,5.14,5.79
2003-03-07,1.16,1.12,1.39,2.56,3.63,4.67,4.9,5.01,5.67
2003-03-14,1.14,1.13,1.56,2.72,3.72,4.73,4.93,4.93,5.61
2003-03-21,1.18,1.18,1.8,3.12,4.11,5.08,5.23,5.11,5.79
2003-03-28,1.15,1.14,1.56,2.86,3.92,4.93,5.16,5.21,5.91
2003-04-04,1.17,1.11,1.55,2.88,3.96,4.97,5.2,5.06,5.79
2003-04-11,1.18,1.17,1.65,2.95,4.0,4.96,5.19,5.17,5.85
2003-04-25,1.13,1.14,1.57,2.88,3.91,4.83,5.04,5.12,5.79
2003-05-02,1.07,1.12,1.56,2.9,3.94,4.84,5.05,5.03,5.7
2003-05-09,1.07,1.11,1.45,2.61,3.69,4.64,4.95,4.97,5.62
2003-05-16,0.98,1.05,1.38,2.43,3.46,4.44,4.67,4.84,5.45
2003-05-23,1.14,1.08,1.38,2.33,3.34,4.28,4.44,4.73,5.34
2003-05-30,1.16,1.11,1.33,2.3,3.37,4.36,4.59,4.73,5.31
2003-06-06,1.14,1.05,1.27,2.29,3.37,4.37,4.66,4.66,5.26
2003-06-13,0.92,0.86,1.1,2.08,3.13,4.13,4.42,4.6,5.21
2003-06-20,0.81,0.83,1.22,2.31,3.4,4.41,4.7,4.62,5.21
2003-06-27,0.8,0.87,1.38,2.52,3.58,4.57,4.83,4.63,5.24
2003-07-11,0.89,0.89,1.29,2.52,3.66,4.65,4.94,4.85,5.52
2003-07-18,0.84,0.91,1.51,2.93,4.0,4.93,5.09,5.0,5.67
2003-07-25,0.92,0.93,1.52,3.1,4.22,5.15,5.31,5.27,5.94
2003-08-01,0.91,0.95,1.85,3.37,4.44,5.42,5.47,5.44,6.14
2003-08-08,0.91,0.96,1.72,3.17,4.27,5.29,5.4,5.66,6.34
2003-08-15,0.92,0.95,1.85,3.42,4.55,5.49,5.57,5.58,6.24
2003-08-22,0.96,0.98,1.97,3.47,4.48,5.37,5.4,5.6,6.28
2003-08-29,0.98,0.98,1.95,3.46,4.45,5.33,5.3,5.66,6.32
2003-09-05,0.95,0.96,1.72,3.28,4.35,5.29,5.32,5.77,6.44
2003-09-12,0.91,0.96,1.66,3.15,4.27,5.22,5.33,5.46,6.16
2003-09-19,0.88,0.95,1.7,3.11,4.17,5.12,5.2,5.3,6.01
2003-09-26,0.87,0.94,1.6,2.95,4.04,4.98,5.11,5.3,5.98
2003-10-03,0.87,0.94,1.65,3.12,4.21,5.15,5.23,5.1,5.77
2003-10-10,0.89,0.92,1.65,3.15,4.29,5.23,5.34,5.26,5.95
2003-10-17,0.9,0.93,1.9,3.33,4.41,5.32,5.37,5.36,6.05
2003-10-24,0.92,0.95,1.76,3.13,4.24,5.14,5.27,5.39,6.05
2003-10-31,0.96,0.96,1.85,3.27,4.33,5.2,5.28,5.26,5.94
2003-11-07,0.95,0.96,2.04,3.47,4.48,5.33,5.38,5.31,5.98
2003-11-14,0.92,0.95,1.84,3.19,4.22,5.1,5.21,5.39,6.03
2003-11-21,0.93,0.94,1.84,3.15,4.15,5.05,5.13,5.17,5.83
2003-11-28,0.96,0.93,2.06,3.38,4.34,5.2,5.23,5.22,5.89
2003-12-05,0.93,0.92,1.88,3.23,4.23,5.09,5.2,5.36,6.02
2003-12-12,0.88,0.91,1.84,3.23,4.26,5.12,5.23,5.24,5.88
2003-12-19,0.87,0.88,1.82,3.16,4.15,4.99,5.11,5.14,5.82
2003-12-26,0.76,0.87,1.82,3.17,4.17,4.99,5.15,5.13,5.81
2003-12-31,0.9,0.95,1.84,3.25,4.27,5.1,5.23,5.15,5.85
2004-01-08,0.87,0.88,1.85,3.24,4.27,5.12,5.2,5.17,5.87
2004-01-15,0.82,0.88,1.67,2.97,3.99,4.87,5.03,4.97,5.66
2004-01-22,0.74,0.88,1.66,2.96,3.99,4.86,5.02,4.95,5.64
2004-01-29,0.87,0.94,1.88,3.22,4.22,5.05,5.13,4.97,5.68
2004-02-05,0.89,0.94,1.85,3.21,4.2,5.02,5.13,5.03,5.72
2004-02-12,0.9,0.93,1.75,3.07,4.1,4.94,5.1,4.96,5.66
2004-02-19,0.93,0.94,1.7,3.02,4.05,4.91,5.04,4.87,5.58
2004-02-26,0.97,0.96,1.69,3.01,4.05,4.92,5.05,4.89,5.58
2004-03-04,0.97,0.96,1.73,3.02,4.04,4.89,4.99,4.88,5.59
2004-03-11,0.96,0.97,1.52,2.72,3.74,4.66,4.87,4.69,5.41
2004-03-18,0.93,0.93,1.55,2.72,3.76,4.66,4.87,4.69,5.38
2004-03-25,0.95,0.94,1.51,2.7,3.75,4.65,4.86,4.7,5.4
2004-04-01,0.95,0.93,1.65,2.87,3.91,4.77,5.01,4.84,5.52
2004-04-08,0.93,0.93,1.88,3.22,4.21,5.04,5.17,5.12,5.79
2004-04-15,0.92,0.95,2.1,3.45,4.42,5.22,5.33,5.23,5.89
2004-04-22,0.81,0.97,2.15,3.46,4.4,5.2,5.33,5.25,5.94
2004-04-29,0.85,0.97,2.34,3.66,4.55,5.33,5.41,5.35,6.01
2004-05-06,0.89,1.0,2.39,3.72,4.63,5.41,5.46,5.47,6.12
2004-05-13,0.88,1.0,2.67,4.01,4.85,5.61,5.61,5.72,6.34
2004-05-20,0.9,1.03,2.55,3.86,4.72,5.47,5.52,5.67,6.3
2004-05-27,0.94,1.06,2.46,3.74,4.6,5.34,5.45,5.69,6.32
2004-06-03,0.96,1.17,2.63,3.89,4.71,5.46,5.49,5.63,6.28
2004-06-10,1.02,1.3,2.81,4.0,4.81,5.52,5.51,5.67,6.3
2004-06-17,1.02,1.28,2.81,3.93,4.71,5.42,5.41,5.7,6.32
2004-06-24,1.1,1.29,2.74,3.85,4.66,5.36,5.44,5.64,6.25
2004-07-01,1.01,1.22,2.64,3.74,4.57,5.31,5.35,5.62,6.21
2004-07-08,1.14,1.27,2.55,3.65,4.49,5.24,5.32,5.42,6.01
2004-07-15,1.15,1.35,2.64,3.69,4.5,5.24,5.28,5.4,6.0
2004-07-22,1.21,1.37,2.69,3.71,4.48,5.22,5.3,5.39,5.98
